scenario,zone,layer,metric,n_zig,n_cpp,median_zig_ns,median_cpp_ns,ratio_median,ci_lo,ci_hi,cv_zig_pct,cv_cpp_pct,verdict
build_solo_layers_map_1,rcBuildCompactHeightfield,build,min_ns,7,7,87398800.0,113088400.0,0.7728361175858885,0.761846418228686,0.7953679964054249,2.800315675539183,1.4428490151360347,FASTER
build_solo_layers_map_1,rcBuildContours,build,min_ns,7,7,46685400.0,48645700.0,0.9597025019683137,0.9334132046233758,0.9833887736926621,1.7312322962225657,3.009207552262829,FASTER
build_solo_layers_map_1,rcBuildLayerRegions,build,min_ns,7,7,69863400.0,71617600.0,0.9755060208663792,0.9662739809855031,0.9849182443160633,0.867876108337948,0.6907233569930691,FASTER
build_solo_layers_map_1,rcBuildPolyMesh,build,min_ns,7,7,1670627900.0,2358224900.0,0.7084260284080623,0.7052951479829054,0.715652703211676,0.8753369937093131,0.4600071282525205,FASTER
build_solo_layers_map_1,rcBuildPolyMeshDetail,build,min_ns,7,7,236717000.0,254147100.0,0.9314172776317338,0.9244167121584356,0.9406261923765864,1.5930777557531037,0.6469208088805056,FASTER
build_solo_layers_map_1,rcErodeWalkableArea,build,min_ns,7,7,62524000.0,67066800.0,0.9322645481818128,0.9286252625601491,0.9415722796787735,0.6908583299236406,0.4518446745907264,FASTER
build_solo_layers_map_1,rcFilterLedgeSpans,build,min_ns,7,7,108470000.0,150715800.0,0.7196989300391864,0.7091278146876973,0.7334823939644456,2.1341490744398683,0.7814191576542651,FASTER
build_solo_layers_map_1,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,15469500.0,17020600.0,0.9088692525527889,0.8764583119504602,0.9565988741490126,1.7867068878525467,3.353685804428354,FASTER
build_solo_layers_map_1,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,13884200.0,14655900.0,0.9473454376735649,0.8964799344366309,1.0428631987747512,8.808940983526082,3.4396347404524885,tie(noise)
build_solo_layers_map_1,rcRasterizeTriangles,build,min_ns,7,7,185709700.0,210910000.0,0.880516333981319,0.8733800337849811,0.8959041896405001,0.7596986952103819,0.9967203408506516,FASTER
build_solo_watershed_map_1_coarse,dtCreateNavMeshData,build,min_ns,7,7,1168100.0,2112300.0,0.5529991005065569,0.5454802926599008,0.5591234644025993,1.0878342688477025,0.5065141494336821,FASTER
build_solo_watershed_map_1_coarse,rcBuildCompactHeightfield,build,min_ns,7,7,16592200.0,21303000.0,0.7788668262686007,0.7590430234271401,0.7818804237574665,0.6998819591915194,1.0374985185805983,FASTER
build_solo_watershed_map_1_coarse,rcBuildContours,build,min_ns,7,7,8973300.0,9475000.0,0.9470501319261214,0.931344537815126,0.9582047476160475,1.7109027862489707,0.7972744820241737,FASTER
build_solo_watershed_map_1_coarse,rcBuildDistanceField,build,min_ns,7,7,17026900.0,16073300.0,1.0593282026715112,1.054445966127743,1.0638503206525123,0.36652816250340997,0.328506985273698,SLOWER
build_solo_watershed_map_1_coarse,rcBuildPolyMesh,build,min_ns,7,7,16899800.0,23077100.0,0.7323190522205997,0.7258635062001408,0.7381429758140627,1.1242740028845368,0.6309814939841258,FASTER
build_solo_watershed_map_1_coarse,rcBuildPolyMeshDetail,build,min_ns,7,7,291088000.0,304436200.0,0.9561543600925251,0.9526178690488216,0.9659077758256094,1.1271511268029077,0.6361553683012683,FASTER
build_solo_watershed_map_1_coarse,rcBuildRegions,build,min_ns,7,7,72405800.0,81369600.0,0.8898384654711342,0.8824442907656705,0.8972998175602279,0.4630650463080173,0.507340237438211,FASTER
build_solo_watershed_map_1_coarse,rcErodeWalkableArea,build,min_ns,7,7,13620200.0,14034300.0,0.9704937189599766,0.9638024141185487,0.9732844831887549,0.35995153029101745,0.21463637971141808,FASTER
build_solo_watershed_map_1_coarse,rcFilterLedgeSpans,build,min_ns,7,7,31934700.0,43765100.0,0.729684154726026,0.7216476655808903,0.7411315847925073,0.3680762124556463,1.1262045499593327,FASTER
build_solo_watershed_map_1_coarse,rcFilterLowHangingWalkableObstacles,build,min_ns,7,7,3461700.0,4185200.0,0.8271289305170602,0.6262919082430047,0.9531721689569397,13.847761460833699,10.195056617806426,FASTER
build_solo_watershed_map_1_coarse,rcFilterWalkableLowHeightSpans,build,min_ns,7,7,2761500.0,3048200.0,0.9059444918312447,0.8210404073489563,0.9258217205653569,1.1379930422792421,6.146640715294543,FASTER
